step,source_elapsed_s,target_center_x,target_center_y,target_center_z,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,noise_0,noise_1,noise_2,noise_3,noise_4,noise_5,noise_6,noise_7,noise_8,noise_9,noise_10,noise_11,noise_12,noise_13
52,2.635090977,0.500000000,0.000000000,0.200000000,0.016368834,-0.016067138,-0.018600710,-0.011623288,0.018034391,-0.014581608,-0.020581245,0.023842383,-0.025282525,-0.021517932,-0.015995126,0.009605403,-0.006966076,0.001466258,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
53,2.684939296,0.500000000,0.000000000,0.200000000,0.016181674,-0.015903087,-0.018334726,-0.011434157,0.017606029,-0.014318180,-0.020323599,0.023684788,-0.025252242,-0.021285255,-0.015890876,0.009445259,-0.006703739,0.001662804,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
54,2.735387859,0.500000000,0.000000000,0.200000000,0.015997296,-0.015745681,-0.018072074,-0.011250673,0.017185593,-0.014066461,-0.020069527,0.023525480,-0.025229398,-0.021060497,-0.015778579,0.009283984,-0.006442786,0.001855893,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
55,2.784976890,0.500000000,0.000000000,0.200000000,0.015816838,-0.015592759,-0.017812209,-0.011068306,0.016775759,-0.013818569,-0.019820552,0.023365099,-0.025202429,-0.020840503,-0.015672211,0.009121397,-0.006189535,0.002043274,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
56,2.834982734,0.500000000,0.000000000,0.200000000,0.015637850,-0.015444408,-0.017559221,-0.010888955,0.016375028,-0.013574339,-0.019575918,0.023205265,-0.025182556,-0.020624261,-0.015557291,0.008959374,-0.005937074,0.002224389,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
57,2.884938201,0.500000000,0.000000000,0.200000000,0.015462597,-0.015297055,-0.017310478,-0.010715891,0.015985033,-0.013336263,-0.019335251,0.023043720,-0.025164992,-0.020414868,-0.015447496,0.008797262,-0.005692123,0.002398486,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
58,2.934962102,0.500000000,0.000000000,0.200000000,0.015287147,-0.015150343,-0.017068882,-0.010545656,0.015604232,-0.013100567,-0.019099126,0.022882976,-0.025156295,-0.020209556,-0.015327421,0.008635240,-0.005446127,0.002565974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
59,2.984946630,0.500000000,0.000000000,0.200000000,0.015116940,-0.015005806,-0.016829250,-0.010373879,0.015233414,-0.012865229,-0.018866558,0.022721635,-0.025149593,-0.020009052,-0.015212053,0.008474557,-0.005206821,0.002727554,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
60,3.034960585,0.500000000,0.000000000,0.200000000,0.014946689,-0.014864231,-0.016597169,-0.010209664,0.014870602,-0.012636056,-0.018637734,0.022559088,-0.025144307,-0.019815518,-0.015095017,0.008313844,-0.004972134,0.002882957,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
61,3.084917297,0.500000000,0.000000000,0.200000000,0.014778923,-0.014719736,-0.016366815,-0.010050156,0.014518905,-0.012413125,-0.018411739,0.022397999,-0.025145050,-0.019623635,-0.014971782,0.008154323,-0.004736165,0.003032086,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
62,3.135045449,0.500000000,0.000000000,0.200000000,0.014612000,-0.014579963,-0.016148707,-0.009895557,0.014177822,-0.012196361,-0.018192891,0.022237830,-0.025142645,-0.019439438,-0.014863504,0.007999928,-0.004512920,0.003175322,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000
